Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,hit_ratio,range of hit_ratio,,class_PFAA
0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl,[111397597 104111782  97181807 ...  57148411  43796935 151237944],Other PFASs,Si PFASs,,10,,12
1,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[217845993 215423514 107816900 ...  88808901  43796935  98778836],PFAA precursors,PolyFEACs,,10,,12
2,FC(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,FC(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651  12884121 ... 212683906  23638503  71007262],PFAA precursors,HFEs,,10,,12
3,CCCC/C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCC\C=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[178291359 104111782  97181807 ... 200578621  14046279  51400916],PFAA precursors,SFAenes,,10,,12
4,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,[250618452 215423514 107816900 ...  88808901  43796935  24985098],Other PFASs,Polyfluoroalkanes,,10,,12
5,CN(C(=O)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C(F)(F)C(F)(F)C(F)(F)F,CN(C(=O)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060   3627924 ... 194511214 281920279 151237944],Other PFASs,Amide derivatives,,10,,12
6,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=CI,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=CI,[214631988 104111782  97181807 ... 330153186  14046279 151237944],PFAA precursors,PolyFAenes,,10,,12
7,O=C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)ON1C(=O)CCC1=O,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(=O)ON1C(=O)CCC1=O,[250618452  80780619  97181807 ...   8587256 281920279 151237944],"Polyfluoroalkyl acids, cyclic","PolyFCA derivatives, cyclic",,10,,12
8,O=CC(F)(F)C(F)(F)C(F)(F)C(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)C=O,[250618452 429712812 107816900 ... 286019159 240371511 151237944],Other PFASs,others,0.01,1,,12
9,CCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
10,[N-]=[N+]=NCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCN=[N+]=[N-],[207361274  33988699  97181807 ...  16631887  43796935 151237944],Other PFASs,others,,10,,12
11,O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,[NH4+].[O-]C(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,[ 58689828 196028059 144793530 ... 291378977 101296679  36136210],PFAAs,PFECAs,,10,,2
12,CN(C)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,CN(C)C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 252899431  37515159 107724166],Other PFASs,Aromatic PFASs,,10,,12
13,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C,FC(F)(COC(=O)C=C)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C,[ 19469312  85244370 107816900 ... 291378977 281920279  46460802],Polyfluoroalkyl acids,PolyFCA derivatives,0.39,8,,12
14,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[101390333  15733760 107816900 ...  18403413  53184391  65634510],PFAA precursors,PACFs,,10,,12
15,OCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,OCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651  36163133 ... 291431448  23638503  71007262],PFAA precursors,PolyFEACs,,10,,12
16,FC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I)C(F)(F)F,FC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I)C(F)(F)F,[   853465 398765097  63064138 ...  53870161 101296679 151237944],Other PFASs,Polyfluoroalkyl ethers and derivatives,,10,,12
17,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(-c2ccc(Br)s2)s1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(S1)C1=CC=C(Br)S1,[115611454 104111782  26425151 ...  54774398 160972743  72180978],Other PFASs,Aromatic PFASs,,10,,12
18,O=c1cc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)oc2ccccc12,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC(=O)C2=CC=CC=C2O1,[ 46692570  39139378  63689098 ...  69892559 107457159 107724166],Other PFASs,Aromatic PFASs,,10,,12
19,O=C(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1cccnc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C1=CC=CN=C1,[250618452  15928446  78177578 ...  17799215  43796935 151237944],Other PFASs,Aromatic PFASs,,10,,12
20,O=C(Nc1ccccc1I)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)NC1=CC=CC=C1I,[ 42684322   8492060 107816900 ...  54552999 100272231 132511772],Other PFASs,Aromatic PFASs,,10,,12
21,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
22,O=[N+]([O-])OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O-][N+](=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 144813810 237958519  22248924],Other PFASs,others,,10,,12
23,O=C(O)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OC(=O)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[250618452 181809277 107816900 ...  88808901 168823863 151237944],PFAAs,PFCAs,,10,,4
24,CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 133635739 138388023 151237944],PFAA precursors,PASF-based substances,0.25,5,,12
25,O=C(O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,CC[NH+](CC)CC.[O-]C(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651 107816900 ... 189837130  23638503  50610154],PFAAs,PFECAs,0.02,1,,2
26,CCCS(=O)(=O)c1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1CC,CCCS(=O)(=O)C1=C(CC)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,[ 31840531  34348060  17313015 ... 112546150 336304663  11852866],Other PFASs,Aromatic PFASs,,10,,12
27,O=C(Nc1ccc(Cl)c(Cl)c1)C(F)(F)C(F)(F)C(F)(F)F,[H]N(C(=O)C(F)(F)C(F)(F)C(F)(F)F)C1=CC(Cl)=C(Cl)C=C1,[250618452   8492060 107816900 ...  25560912  98535143 151237944],Other PFASs,Aromatic PFASs,,10,,12
28,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[171249045  71278405  95504826 ...  88808901  43796935 130781908],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
29,COc1ccc(C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1,COC1=CC=C(C=C1)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452 109049955  23369274 ...  16937123 124409255  75695922],Other PFASs,Aromatic PFASs,,10,,12
30,OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  58849484  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
31,CN(CC(=O)O)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[Na+].CN(CC([O-])=O)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[175393702   8492060  12560177 ... 194511214 281920279 110011752],Other PFASs,Amide derivatives,,10,,12
32,O=C(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccc(O)cc1,OC1=CC=C(C=C1)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 35941647  12005311  78177578 ... 110403402  18477239  46460802],Other PFASs,Aromatic PFASs,,10,,12
33,OC(CCl)(c1ccc(F)cc1F)C(F)(F)C(F)(F)C(F)(F)F,OC(CCl)(C1=C(F)C=C(F)C=C1)C(F)(F)C(F)(F)C(F)(F)F,[111000236  23751931 107816900 ...  61049601 144535159  49220794],Other PFASs,Aromatic PFASs,,10,,12
34,CCS(=O)(=O)N(CC(=O)O)C(F)(F)C(F)(F)F,"[K+].CCS(=O)(=O)N(CC([O-])=O)C(F)(F)C(F)(F)F |lp:4:2,5:2,6:1,9:3,10:2,12:3,13:3,15:3,16:3,17:3,Sg:n:13,12,11:4-9:ht|",[238259188  33988699  17313015 ...  83238084  31798551 110011752],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
35,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccc(F)cc2Cl)c1F,CC1=CC(=CC(C)=C1NC(=O)C1=C(F)C(NC(=O)C2=CC=C(F)C=C2Cl)=CC=C1)C(F)(C(F)(F)F)C(F)(F)F,[ 40207599   2437394   8411880 ...  25560912  76679431 107766604],Other PFASs,Aromatic PFASs,,10,,12
36,FC1(F)OC(F)(F)C(F)(F)C1(F)F,FC1(F)OC(F)(F)C(F)(F)C1(F)F,[  67428694 1244047753  107816900 ...  363754111  101296679  151237944],"PFAA precursors, cyclic","HFEs, cyclic",,10,,12
37,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(-c2cccs2)s1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(S1)C1=CC=CS1,[115611454  71257929  26425151 ... 105635104  93768375 151237944],Other PFASs,Aromatic PFASs,,10,,12
38,CC1(C)OB(c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)s2)OC1(C)C,CC1(C)OB(OC1(C)C)C1=CC=C(S1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 62303660 104111782  97181807 ...  15060634 160972743 107724166],Other PFASs,Aromatic PFASs,,10,,12
39,O=C(OOC(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(C(=O)OOC(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,[148576640  29724983 232751249 ... 241114849 422801479 261466434],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
40,CC(=O)/N=S(\c1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)\N=S(/C1=CC=CC=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  12465148 107816900 ... 141614473  22685495  29302852],Other PFASs,Aromatic PFASs,,10,,12
41,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 286019159 240371511 151237944],PFAA precursors,HFCs,,10,,12
42,O=C(N=NC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)N=NC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 41190720 104111782  47004287 ... 171882282  43796935 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
43,CCCC=CC(F)(F)C(F)(F)C(F)(F)F,CCCC=CC(F)(F)C(F)(F)C(F)(F)F,[ 75568764   5065065 107816900 ... 297668813  14046279 151237944],PFAA precursors,SFAenes,,10,,12
44,O=C(Cl)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,FC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(Cl)=O,[111000236 108406697 144793530 ... 139403392 101296679  70269816],Other PFASs,Polyfluoroalkyl ethers and derivatives,,10,,12
45,OC1OCCCC1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC1OCCCC1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 24605412  89731837  97181807 ... 210728443  38811175  75491352],"PFAA precursors, cyclic","PolyFEACs, cyclic",,10,,12
46,O=S(=O)(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,[250618452 107055568  17313015 ... 224462146 171866167 151237944],PFAAs,PFSA derivatives,,10,,10
47,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cc2ccccc2[nH]1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC2=CC=CC=C2N1,[  6233941  39139378  26425151 ... 215679073  63876583   5446964],Other PFASs,Aromatic PFASs,,10,,12
48,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,[ 71840584 233894676 107816900 ... 581400340  23638503  36136210],Other PFASs,Perfluoroalkylethers,,10,,12
49,O=S(=O)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS(Cl)(=O)=O,[250618452  49018156  17313015 ... 171882282  43796935 151237944],PFAA precursors,Sulfonyl chloride,,10,,12
50,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)\C=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070 104111782  97181807 ... 330153186  14046279 151237944],PFAA precursors,PolyFAenes,,10,,12
51,CCN(CC(=O)O)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[Na+].CCN(CC([O-])=O)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060  12560177 ... 194511214 281920279 110011752],Other PFASs,Amide derivatives,,10,,12
52,F/C(=C(\C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,F\C(=C(/C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,[ 43491808 541103106 107816900 ...  65874932  94348247 115468828],PFAA precursors,PFAenes,,10,,12
53,C=C(CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 104111782  18439196 ...  15279529  16565031  22160906],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
54,CCN(CCOP(=O)(OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCOP(=O)(OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 136323818  55416695 151237944],PFAA precursors,PASF-based substances,,10,,12
55,O=C(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  87855067 ...   8368225  99703927  64222056],PFAAs,PFCA-anhydrides,,10,,1
56,O=C(O)C(F)(F)COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)C(F)(F)COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[192864003 377861323 107816900 ...  37687752 101296679 151237944],Polyfluoroalkyl acids,PolyFECAs,,10,,12
57,CCOC(=O)C(N)CC(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)C(N)CC(F)(F)C(F)(F)C(F)(F)F,[ 19469312 192842905  14316170 ... 210960177 243907095    175516],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
58,O=C1c2c(F)c(F)c(F)c(F)c2C1(F)C(F)(C(F)(F)F)C(F)(F)F,FC1=C2C(=O)C(F)(C2=C(F)C(F)=C1F)C(F)(C(F)(F)F)C(F)(F)F,[104151341   9817950 104885532 ... 131684571   9822471 169374042],Other PFASs,Aromatic PFASs,,10,,12
59,C=CC(=O)OCCN(C)S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(CCOC(=O)C=C)S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  33988699  17313015 ... 171882282  31798551  27743636],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
60,COC(=O)C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)OC,COC(=O)C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)OC,[ 21266600 104111782  97181807 ...  16631887  43796935 108474474],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
61,O=C(O)/C=C(/c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)\C=C(\C1=CC=CC=C1)C(F)(F)C(F)(F)C(F)(F)F,[154622744  77620277 107816900 ... 156800544  51467815  29516144],Other PFASs,Aromatic PFASs,,10,,12
62,COc1ccc2nccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2c1,COC1=CC2=C(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=CN=C2C=C1,[250618452 107055568  17313015 ...  17799215 107222071  29302852],Other PFASs,Aromatic PFASs,,10,,12
63,OCCOCCC(F)(F)F,"OCCOCCC(F)(F)F |lp:0:2,3:2,7:3,8:3,9:3,Sg:n:8,7,6::ht,Sg:n:3,2,1::ht|",[146941168  32511046 232751249 ... 313457457 269218407  98778836],PFAA precursors,PolyFEACs,,10,,12
64,CCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887 281920279 151237944],PFAA precursors,HFCs,,10,,12
65,O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OP(=O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 90403826  71278405  42493806 ...  31057643 126736119 151237944],PFAAs,PFPIAs,,10,,3
66,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,[K+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452 541103106  87855067 ...  37687752 281920279 151237944],PFAAs,PFCAs,0.02,1,,4
67,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,[250618452  21086568  97181807 ...  88808901  68472071 151237944],Other PFASs,Perfluoroalkanes,,10,,12
68,O=S(=O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"OS(=O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F |lp:0:2,2:2,3:2,4:2,8:3,9:3,11:3,12:3,14:3,15:3,17:3,18:3,20:3,21:3,23:3,24:3,25:3,Sg:n:9,8,7:1-7:ht|",[250618452 104111782  17313015 ...  25029786  43796935 151237944],Other PFASs,others,,10,,12
69,CNCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CNCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  33988699  97181807 ...  16631887 166016711 130467758],Other PFASs,others,,10,,12
70,FC(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,[ 90704825 372062702 107816900 ... 299509625 281920279 151237944],PFAA precursors,HFCs,,10,,12
71,C=CCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COCC=C,[ 35941647 104111782  97181807 ...   1095206 281920279  22166258],Other PFASs,others,,10,,12
72,CC(C)(C)C(=O)/C(=N/Nc1ccc([N+](=O)[O-])cc1)C(=O)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(C)C(=O)C(=N\NC1=CC=C(C=C1)[N+]([O-])=O)\C(=O)C(F)(F)C(F)(F)C(F)(F)F,[  7060930 102402892  40939220 ...  14713706  72176439  75695922],Other PFASs,Aromatic PFASs,,10,,12
