RDKIT_SMILES,SMILES,MHFP
C/C(=C\C(=O)C(F)(F)C(F)(F)C(F)(F)F)NNC(=O)c1ccc([N+](=O)[O-])cc1,C\C(NNC(=O)C1=CC=C(C=C1)[N+]([O-])=O)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F,[ 7060930 48791578 19201563 ... 24651837 72176439 31837104]
OCC(I)CC(F)(F)C(F)(F)C(F)(F)F,OCC(I)CC(F)(F)C(F)(F)C(F)(F)F,[250618452 176735456 107816900 ...  58849484  52429719 151237944]
CCOC(=O)NCC(CCSS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[Na+].[H]N(CC(CCSS([O-])(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)OCC,[ 41329719  33988699  14316170 ...  12631745 281920279  16390046]
O=C(n1nc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)N1N=C(C=C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 61279133  99017345  97181807 ...  43761913 281920279 107724166]
CCCCCC(=O)N1CCN(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC1,CCCCCC(=O)N1CCN(CC1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 90362490  33988699  17313015 ... 136323818  11125639 151237944]
CC(C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC(=O)ON=C(C#N)c1ccccc1,CC(C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC(=O)ON=C(C#N)C1=CC=CC=C1,[ 84780288 104111782  97181807 ...  16631887  43796935  29516144]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1csc(I)c1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CSC(I)=C1,[115611454  30760755  19485482 ... 137526041 210566823 151237944]
OC/C(I)=C\C(F)(F)C(F)(F)C(F)(F)F,OC\C(I)=C/C(F)(F)C(F)(F)C(F)(F)F,[100855264 181216320 107816900 ... 330153186  14046279 151237944]
CC12CCC([C-](C(=O)C(F)(F)C(F)(F)C(F)(F)F)C1=O)C2(C)C,[Pr+3].CC1(C)C2CCC1(C)C(=O)[C-]2C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC1(C)C2CCC1(C)C(=O)[C-]2C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC1(C)C2CCC1(C)C(=O)[C-]2C(=O)C(F)(F)C(F)(F)C(F)(F)F,[ 24549908  26398953   3897556 ...  39537904  43246439 133661350]
FC(F)(F)C1(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,FC(F)(F)C1(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,[250618452  21086568 107816900 ... 377360624 281920279 151237944]
N/C(=C\C(=O)c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,N\C(=C/C(=O)C1=CC=CC=C1)C(F)(F)C(F)(F)C(F)(F)F,[250618452 111791931 105751502 ... 215679073 281920279  29516144]
CCN(CC(O)CS(=O)(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[NH4+].CCN(CC(O)CS([O-])(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ...  90105790 107222071  29302852]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccsc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CSC=C1,[115611454  30760755  19485482 ... 162895639 218381287 151237944]
C=C(C)C(=O)OCCCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(CCCCOC(=O)C(C)=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  1426846  33988699  17313015 ... 136323818 138388023  22160906]
O=C(O)C(F)(OC(F)(F)F)C(F)(F)F,OC(=O)C(F)(OC(F)(F)F)C(F)(F)F,[   853465 205622229 213270711 ... 189837130 312092231  50610154]
CCCCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944]
CC(=O)Nc1cc(NC(C)=O)cc(OC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)c1,CC(=O)NC1=CC(OC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)=CC(NC(C)=O)=C1,[ 43491808 246413116 232751249 ... 124699056  22685495  41236088]
CN(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)F,CN(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452   1815513 107816900 ... 194511214 166016711 151237944]
OCCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 35941647  32511046  97181807 ... 611624164 269218407  46460802]
CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[192864003 104111782  14316170 ... 489654279 101296679 151237944]
O=S(=O)(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCN1C[NH+](C)C=C1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 107055568  17313015 ... 120302872 107222071  29302852]
C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)CO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)(OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,[ 19469312  85244370  97181807 ... 171882282  43796935 151237944]
NCC(F)(F)C(F)(F)C(F)(F)F,NCC(F)(F)C(F)(F)C(F)(F)F,[250618452  15519587 107816900 ... 358933099 197705815 151237944]
FC(F)(F)C(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070 104111782  97181807 ... 328816003  14046279 151237944]
C=CC(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OC(COC(=O)C=C)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[ 19469312  85244370 107816900 ...  88808901  43796935 151237944]
O=S(=O)(Cc1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)CC1=CC=CC=C1,[250618452 107055568  17313015 ... 215679073 107222071  21769896]
FC(F)(F)C(F)(F)C(F)(F)C1=NCCN1,FC(F)(F)C(F)(F)C(F)(F)C1=NCCN1,[107223494  32238002  17830945 ... 121034753 255589255  54969806]
O=C(N1CCCCC1)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)N1CCCCC1,[250618452   8492060  12560177 ... 194511214 281920279 151237944]
O=C(OCc1ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1)ON1C(=O)CCC1=O,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC1=CC=C(COC(=O)ON2C(=O)CCC2=O)C=C1,[163195175  80780619  97181807 ...  48540322  43796935 151237944]
C=CC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)C=C,[ 44303457  33988699  97181807 ... 194511214 281920279 151237944]
CCc1ccc(C=NNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,CCC1=CC=C(C=NNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[117015094   8492060  97181807 ... 194511214 281920279  11852866]
O=C(N=NC(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCOC(=O)N=NC(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 50934668 104111782  47004287 ...  16631887  43796935 151237944]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCBr,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCBr,[250618452 104111782  97181807 ...  46064494  43796935 134521232]
CCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887 281920279 151237944]
O=C(C(C(=O)C(F)(F)C(F)(F)C(F)(F)F)=P(c1ccccc1)(c1ccccc1)c1ccccc1)N1CCCCC1,FC(F)(F)C(F)(F)C(F)(F)C(=O)C(C(=O)N1CCCCC1)=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,[ 95041708  19386904  14512170 ... 194511214 124409255   1185554]
O=C(CC(C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)S(=O)(=O)O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,[Na+].[O-]S(=O)(=O)C(CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,[ 19469312 113009692  17313015 ... 272476183 236443767  21751268]
OCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,OCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651  36163133 ... 291431448  23638503  71007262]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 611624164 281920279 151237944]
F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,F\C(=C(\F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,[250618452  11315155 107816900 ...  45545214  30740423 151237944]
COCCOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,COCCOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[   853465  90791381 107816900 ... 291378977  23638503  71007262]
CCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944]
Cc1ccc(C(F)(C(F)(F)F)C(F)(F)F)cc1,CC1=CC=C(C=C1)C(F)(C(F)(F)F)C(F)(F)F,[343908383  44409534 176655320 ... 581763526   6451911  55994378]
NC(CCC(F)(F)C(F)(F)C(F)(F)F)C(=O)O,NC(CCC(F)(F)C(F)(F)C(F)(F)F)C(O)=O,[108610129 320786895 107816900 ...  16631887 243147303  47255838]
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OP(=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908]
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)CC1CO1,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)CC1CO1,[ 78558515 115150703 107816900 ...  52063218  91993927 145874996]
OC/C=C/C(F)(C(F)(F)F)C(F)(F)F,OC\C=C\C(F)(C(F)(F)F)C(F)(F)F,[985376801 698017886 161177566 ...  73265823  80526903 261466434]
NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  84417266  17313015 ... 136323818  60783143 151237944]
O=C(Nc1c(F)c(F)c(F)c(F)c1F)C(F)(F)C(F)(F)C(F)(F)F,FC1=C(F)C(F)=C(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)=C1F,[250618452   8492060 107816900 ...  54552999 100272231 151237944]
O=C(Nc1cccc(Cl)c1)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)NC1=CC=CC(Cl)=C1,[250618452   8492060 107816900 ...  25560912   2232375 151237944]
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,[250618452 429712812 107816900 ... 286019159 240371511 151237944]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS |lp:0:3,2:3,3:3,5:3,6:3,8:3,9:3,11:3,12:3,14:3,15:3,17:3,18:3,20:3,21:3,23:3,24:3,27:2,Sg:n:24,23,22:1-11:ht|",[137727442  49018156  97181807 ... 171882282  26744695 151237944]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)s4)s3)s2)s1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(S1)C1=CC=C(S1)C1=CC=C(S1)C1=CC=C(S1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[115611454 104111782  26425151 ... 105806193 160972743 107724166]
CNC(=O)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,CNC(=O)C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 321796966   3179815 107724166]
CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944]
CCN(CC)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CC)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060  12560177 ... 194511214 281920279 151237944]
N#Cc1c(F)c(F)c(C(F)(C(F)(F)F)C(F)(F)F)c(F)c1F,FC1=C(F)C(=C(F)C(F)=C1C#N)C(F)(C(F)(F)F)C(F)(F)F,[227878180 190309893 232751249 ... 187714554 398405751 169374042]
OC/C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC\C=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070 104111782  97181807 ... 330153186  14046279 151237944]
O=C(CC(C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)S(=O)(=O)O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,[Na+].[O-]S(=O)(=O)C(CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,[ 19469312 113009692  17313015 ... 272476183 236443767  21751268]
O=P(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)COP(=O)(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,[ 35941647  71278405  95504826 ... 204263015 163931591  46460802]
C[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 14570871 104111782  97181807 ... 171882282  43796935 151237944]
O=S(=O)(F)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C(F)(F)C1(F)F,FC(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C1(F)F)S(F)(=O)=O,[112103684  58869667  17313015 ...  88808901  63007607  24521902]
O=S(=O)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 35941647 104111782  17313015 ...  25029786 107222071  24766088]
O=c1cc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC(=O)OC2=C3CCCN4CCCC(C=C12)=C34,[250618452  33988699   6003371 ...  69892559  37515159  43041114]
FC(F)(F)C(F)(c1ccc(I)cc1)C(F)(F)F,FC(F)(F)C(F)(C1=CC=C(I)C=C1)C(F)(F)F,[189801595  17872842 232751249 ... 611624164  94767431 261466434]
C=C(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 101696305  18439196 ...  15279529  43796935 151237944]
C=CC(=O)OCCC(F)(F)F,"FC(F)(F)CCOC(=O)C=C |lp:0:3,2:3,3:3,6:2,8:2,Sg:n:3,0,1::ht|",[ 19469312  85244370 232751249 ... 291378977 290865607 200050070]
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OP(=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908]
CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944]
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 35941647 104111782  97181807 ... 413328262 128847015  46460802]
O=S(CCO)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  49018156  17313015 ... 150140690 281920279 151237944]
Nc1ccc(OCC(F)(F)C(F)(F)C(F)(F)F)cc1,NC1=CC=C(OCC(F)(F)C(F)(F)C(F)(F)F)C=C1,[ 35941647  73299756 107816900 ... 482241014 111393351  46460802]
N#CCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOCCC#N,[ 82390440 104111782  97181807 ... 400516145 281920279 151237944]
FC(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[H]C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651  12884121 ... 212683906  47146439 261466434]
Cn1c(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2ccccc21,CN1C(=CC2=CC=CC=C12)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 68296518  39139378  63689098 ... 188504355 158576135 107724166]
CCO[Si](CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC,CCO[Si](CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC,[ 39844693   8492060  14316170 ... 194511214 166016711 151237944]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=CC=C1,[115611454 104111782  26425151 ... 162895639 281920279  29516144]
N=C(/N=C(\N)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,N\C(=N/C(=N)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,[237966654  68287699 107816900 ... 296656220 281920279  54969806]
CC(C)(O)C#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(O)C#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[109264537 104111782  97181807 ...  78481900  92402919 151237944]
CC(C)OP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC(C)C,CC(C)OP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC(C)C,[113638662  71278405  95504826 ...  72874746  43796935  39295824]
O=C(Nc1ccc2ccccc2c1)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)NC1=CC2=CC=CC=C2C=C1,[242601795   8492060  63689098 ...  24068083 100272231 151237944]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)P(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)P(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  81398811  42493806 ...  31057643 126736119  36485220]
CC(C)(C)C(=O)CC(=O)C(F)(F)OC(F)(F)F,CC(C)(C)C(=O)CC(=O)C(F)(F)OC(F)(F)F,[ 68998356 493014236 312820385 ... 523579649 101296679  70269816]
CCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944]
O=C(O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,OC(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,[   853465   9635651  20760171 ...  37687752  69108455 151237944]
C=CCC(C(=O)OC)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)C(CC=C)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,[170412662 505728944  92943922 ...  92201024 112541287 102776604]
